domain,domainUtf8
19541,LU
19542,LV
19543,LW
19544,LX
19545,LY
19546,LZ
19777,MA
19778,MB
19779,MC
19780,MD
19781,ME
19782,MF
19783,MG
19784,MH
19785,MI
19786,MJ
19787,MK
19788,ML
19789,MM
19790,MN
19791,MO
19792,MP
19793,MQ
19794,MR
19795,MS
19796,MT
19797,MU
19798,MV
19799,MW
19800,MX
19801,MY
19802,MZ
20033,NA
20034,NB
20035,NC
20036,ND
20037,NE
20038,NF
20039,NG
20040,NH
20041,NI
20042,NJ
20043,NK
20044,NL
20045,NM
20046,NN
20047,NO
20048,NP
20049,NQ
20050,NR
20051,NS
20052,NT
20053,NU
20054,NV
20055,NW
20056,NX
20057,NY
20058,NZ
20289,OA
20290,OB
20291,OC
20292,OD
20293,OE
20294,OF
20295,OG
20296,OH
20297,OI
20298,OJ
20299,OK
20300,OL
20301,OM
20302,ON
20303,OO
20304,OP
20305,OQ
20306,OR
20307,OS
20308,OT
20309,OU
20310,OV
20311,OW
20312,OX
20313,OY
20314,OZ
20545,PA
20546,PB
20547,PC
20548,PD
20549,PE
20550,PF
20551,PG
20552,PH
20553,PI
20554,PJ
20555,PK
20556,PL
20557,PM
20558,PN
20559,PO
20560,PP
20561,PQ
20562,PR
20563,PS
20564,PT
20565,PU
20566,PV
20567,PW
20568,PX
20569,PY
20570,PZ
20801,QA
20802,QB
20803,QC
20804,QD
20805,QE
20806,QF
20807,QG
20808,QH
20809,QI
20810,QJ
20811,QK
20812,QL
20813,QM
20814,QN
20815,QO
20816,QP
20817,QQ
20818,QR
20819,QS
20820,QT
20821,QU
20822,QV
20823,QW
20824,QX
20825,QY
20826,QZ
21057,RA
21058,RB
21059,RC
21060,RD
21061,RE
21062,RF
21063,RG
21064,RH
21065,RI
21066,RJ
21067,RK
21068,RL
21069,RM
21070,RN
21071,RO
21072,RP
21073,RQ
21074,RR
21075,RS
21076,RT
21077,RU
21078,RV
21079,RW
21080,RX
21081,RY
21082,RZ
21313,SA
21314,SB
21315,SC
21316,SD
21317,SE
21318,SF
21319,SG
21320,SH
21321,SI
21322,SJ
21323,SK
21324,SL
21325,SM
21326,SN
21327,SO
21328,SP
21329,SQ
21330,SR
21331,SS
21332,ST
21333,SU
21334,SV
21335,SW
21336,SX
21337,SY
21338,SZ
21569,TA
21570,TB
21571,TC
21572,TD
21573,TE
21574,TF
21575,TG
21576,TH
21577,TI
21578,TJ
21579,TK
21580,TL
21581,TM
21582,TN
21583,TO
21584,TP
21585,TQ
21586,TR
21587,TS
21588,TT
21589,TU
21590,TV
21591,TW
21592,TX
21593,TY
21594,TZ
21825,UA
21826,UB
21827,UC
21828,UD
21829,UE
21830,UF
21831,UG
21832,UH
21833,UI
21834,UJ
21835,UK
21836,UL
21837,UM
21838,UN
21839,UO
21840,UP
21841,UQ
21842,UR
21843,US
21844,UT
21845,UU
21846,UV
21847,UW
21848,UX
21849,UY
21850,UZ
22081,VA
22082,VB
22083,VC
22084,VD
22085,VE
22086,VF
22087,VG
22088,VH
22089,VI
22090,VJ
22091,VK
22092,VL
22093,VM
22094,VN
22095,VO
22096,VP
22097,VQ
22098,VR
22099,VS
22100,VT
22101,VU
22102,VV
22103,VW
22104,VX
22105,VY
22106,VZ
22337,WA
22338,WB
22339,WC
22340,WD
22341,WE
22342,WF
22343,WG
22344,WH
22345,WI
22346,WJ
22347,WK
22348,WL
22349,WM
22350,WN
22351,WO
22352,WP
22353,WQ
22354,WR
22355,WS
22356,WT
22357,WU
22358,WV
22359,WW
22360,WX
22361,WY
22362,WZ
22593,XA
22594,XB
22595,XC
22596,XD
22597,XE
22598,XF
22599,XG
22600,XH
22601,XI
22602,XJ
22603,XK
22604,XL
22605,XM
22606,XN
22607,XO
22608,XP
22609,XQ
22610,XR
22611,XS
22612,XT
22613,XU
22614,XV
22615,XW
22616,XX
22617,XY
22618,XZ
22849,YA
22850,YB
22851,YC
22852,YD
22853,YE
22854,YF
22855,YG
22856,YH
22857,YI
22858,YJ
22859,YK
22860,YL
22861,YM
22862,YN
22863,YO
22864,YP
22865,YQ
22866,YR
22867,YS
22868,YT
22869,YU
22870,YV
22871,YW
22872,YX
22873,YY
22874,YZ
23105,ZA
23106,ZB
23107,ZC
23108,ZD
23109,ZE
23110,ZF
23111,ZG
23112,ZH
23113,ZI
23114,ZJ
23115,ZK
23116,ZL
23117,ZM
23118,ZN
23119,ZO
23120,ZP
23121,ZQ
23122,ZR
23123,ZS
23124,ZT
23125,ZU
23126,ZV
23127,ZW
23128,ZX
23129,ZY
23130,ZZ
